150 8649
140 68 4
75 58 7
34 85 6
18 92 4
139 8 7
12 28 1
78 46 8
85 79 1
101 73 2
7 59 3
107 70 1
85 31 8
31 132 5
67 17 6
47 138 2
130 97 6
29 6 6
50 125 5
59 146 4
94 109 1
57 147 2
75 110 7
96 28 8
123 94 9
53 29 3
61 149 8
8 41 5
49 100 2
142 124 5
110 2 1
47 127 8
95 36 9
118 17 3
39 93 6
149 85 2
93 13 1
64 84 8
24 110 5
11 34 4
20 115 6
107 145 6
142 71 9
44 136 4
144 78 3
20 4 3
61 20 9
112 46 4
76 33 2
131 137 5
131 49 8
61 3 2
54 29 8
57 19 5
1 35 5
49 94 4
74 115 5
12 104 8
89 2 5
33 51 3
99 78 6
12 77 2
10 120 8
3 18 7
28 136 4
144 5 1
121 4 2
42 0 2
13 5 3
71 87 7
104 58 3
19 64 6
103 92 7
77 24 2
60 96 1
75 94 8
58 143 1
8 60 5
71 24 7
47 32 4
131 116 8
149 42 3
6 11 3
115 44 5
139 38 5
35 122 7
84 50 8
58 60 1
84 42 5
113 24 2
55 101 8
116 5 5
15 57 1
139 27 3
12 123 2
28 66 3
21 32 3
20 56 7
58 79 1
52 88 8
18 71 1
4 114 5
132 133 8
103 141 8
94 10 4
45 82 8
45 148 8
86 40 6
46 94 9
112 81 9
20 105 4
89 45 9
135 137 2
24 53 6
80 129 3
117 7 5
144 107 9
138 10 2
134 105 8
70 16 9
114 38 5
106 62 9
139 14 2
92 110 5
10 62 3
135 146 5
95 29 5
70 138 7
143 3 2
88 118 9
22 51 9
82 4 7
111 146 2
0 117 8
27 28 6
58 30 1
59 89 3
33 88 9
113 127 7
9 31 7
135 111 2
55 66 8
9 43 4
68 62 6
143 138 8
131 145 5
107 89 9
48 69 5
30 113 1
23 35 9
68 56 2
11 60 3
107 23 5
27 7 9
127 76 4
41 98 6
51 1 6
64 43 1
78 107 7
68 133 9
40 61 1
119 36 8
80 26 8
22 91 8
74 96 1
137 33 6
53 56 9
57 120 3
126 131 5
69 105 1
55 121 2
85 142 5
71 63 2
143 102 4
134 114 1
65 120 8
49 14 5
79 21 3
106 98 3
84 105 6
49 28 3
87 63 9
82 109 2
124 132 4
125 10 4
32 108 8
59 93 4
12 36 6
92 45 3
48 70 7
101 66 1
45 130 6
143 128 3
90 116 1
129 66 9
12 59 8
93 110 3
140 9 4
44 54 4
143 41 8
3 134 6
65 52 4
133 23 3
138 120 6
144 26 7
127 74 9
106 108 3
98 70 5
99 98 5
31 127 3
121 65 4
134 136 4
75 65 1
77 115 3
19 78 7
5 20 9
104 99 9
80 74 2
142 105 4
110 146 3
131 120 4
116 56 4
9 100 1
140 67 2
89 119 6
65 147 7
38 19 9
35 83 3
101 128 4
21 59 8
59 31 3
98 31 9
17 79 9
138 37 8
34 121 5
57 44 3
81 4 7
3 58 7
55 142 6
50 38 6
111 81 6
50 117 7
64 15 5
56 117 3
63 92 1
62 145 7
54 127 6
134 109 4
68 44 4
47 58 2
80 97 5
4 88 3
113 37 6
2 99 1
133 48 4
83 95 8
122 148 3
120 117 3
83 90 5
29 7 2
26 90 1
68 125 1
77 26 4
0 66 1
20 1 7
114 21 1
136 9 8
55 30 4
73 40 1
113 34 7
45 125 9
74 21 6
105 18 1
1 18 4
112 9 6
33 86 5
92 53 8
131 22 1
140 33 3
108 134 5
95 50 2
105 139 4
28 138 8
147 62 5
130 121 7
54 64 1
72 133 5
120 25 4
64 48 3
44 8 4
121 72 6
25 37 2
19 26 5
136 144 7
66 56 8
130 86 7
28 29 7
8 120 4
65 50 6
94 139 4
108 147 4
19 53 8
138 105 1
56 131 6
45 46 3
27 47 9
55 146 9
142 53 8
85 91 4
14 125 6
16 95 8
61 19 8
85 130 4
118 10 3
3 30 7
40 18 4
2 15 3
16 99 9
119 54 2
90 60 9
146 37 2
115 92 9
4 149 5
92 108 9
8 62 7
58 68 9
22 146 2
76 136 5
3 19 1
98 138 4
52 74 4
99 38 4
25 148 4
77 43 6
105 130 8
16 114 3
18 133 5
93 23 3
112 99 8
143 45 4
51 38 2
128 49 8
119 60 6
68 116 8
135 2 9
148 72 7
149 110 2
136 19 2
57 50 2
84 17 9
4 95 9
74 35 5
84 77 2
77 15 3
79 9 5
108 148 3
106 140 5
82 68 9
49 112 4
147 128 7
23 135 9
76 89 2
148 29 2
83 142 5
57 64 3
122 98 4
148 149 5
148 41 7
113 132 6
137 15 7
92 149 1
25 139 5
142 12 2
119 2 2
21 14 9
56 38 8
72 102 1
23 34 9
14 140 4
121 42 9
140 92 3
82 123 7
126 148 5
124 39 2
136 46 9
57 114 3
39 65 9
67 61 3
43 25 2
58 142 7
29 132 9
141 149 2
61 131 9
28 80 5
88 60 5
20 59 4
45 44 3
11 75 1
87 88 5
88 31 1
76 92 1
39 118 5
76 138 8
11 45 4
40 83 9
109 32 1
67 107 9
108 43 5
94 65 2
73 43 9
114 5 8
129 70 6
130 2 8
30 147 4
58 86 9
78 97 4
68 142 1
79 143 7
127 57 2
59 27 6
59 23 6
59 55 4
50 36 5
36 79 4
35 24 1
65 24 7
70 87 5
93 33 6
61 129 1
20 111 5
57 41 7
82 43 8
66 18 2
127 114 9
11 125 6
8 21 5
131 46 9
21 138 3
78 103 5
89 49 2
19 13 2
51 25 1
139 91 3
147 49 1
24 41 9
17 127 1
140 80 3
11 86 2
46 73 4
39 125 7
42 58 8
137 145 9
43 138 6
38 54 6
13 107 5
71 139 1
40 133 6
14 123 9
101 20 6
63 143 8
26 58 3
129 148 3
24 60 5
66 137 5
131 77 9
146 81 9
0 12 7
63 135 8
134 107 5
71 80 6
51 69 3
81 127 8
35 48 4
139 68 2
122 69 8
136 43 8
148 8 2
11 20 9
60 108 5
99 146 1
66 85 8
16 44 6
15 30 8
97 88 9
8 140 2
7 19 4
30 110 6
55 56 2
117 92 4
75 101 6
46 48 2
149 130 7
11 49 5
82 110 9
54 18 8
66 57 7
127 118 9
112 83 4
114 96 4
91 110 7
81 125 3
88 5 4
11 23 9
32 101 6
67 149 6
106 103 9
66 59 5
132 67 6
123 75 3
3 28 4
145 110 3
43 115 9
22 133 5
120 107 5
141 61 1
90 69 3
119 130 2
56 32 2
97 29 1
132 72 1
87 140 2
85 143 2
146 78 3
26 54 5
69 49 5
147 148 8
42 143 8
115 42 2
24 140 2
54 99 5
146 5 6
10 32 7
19 6 9
101 120 9
92 33 9
126 11 6
21 52 8
23 120 6
134 111 9
95 52 4
148 43 1
114 90 5
130 81 1
52 54 4
30 56 9
92 138 1
57 37 1
88 111 9
107 95 7
40 15 1
5 21 1
109 102 9
38 34 2
146 33 2
86 149 7
89 112 1
36 149 7
88 104 3
118 29 6
124 31 5
22 74 9
37 33 6
35 78 7
20 31 4
13 130 2
142 42 8
114 74 5
15 14 5
8 13 2
148 62 9
146 113 4
98 133 7
122 113 8
89 19 2
60 35 2
133 62 9
97 47 9
125 47 7
131 108 5
30 21 5
46 69 9
135 122 6
95 39 7
77 108 7
132 119 2
50 19 2
62 56 3
2 3 1
141 48 2
77 81 2
111 99 3
14 7 7
36 136 4
147 19 6
109 20 4
44 64 5
2 117 5
10 36 9
132 74 8
60 118 4
84 104 1
50 88 6
134 124 2
50 115 7
97 118 3
86 137 7
73 10 8
137 103 6
137 142 8
127 140 2
53 17 1
79 80 4
104 41 3
77 127 6
136 133 2
59 121 4
44 47 9
79 109 7
105 87 6
23 8 5
136 88 3
37 0 1
145 57 9
36 146 5
106 116 1
72 76 3
89 12 6
105 89 1
43 58 3
109 70 3
55 57 7
135 76 7
72 16 8
144 56 8
22 90 1
113 27 5
35 26 7
25 53 7
149 122 3
39 119 9
76 129 6
101 5 1
137 21 4
79 82 2
117 42 6
35 124 9
94 9 8
102 70 1
34 45 9
67 119 6
12 21 5
118 25 2
25 2 5
29 108 7
19 101 8
139 76 7
143 78 9
149 52 6
85 15 4
82 3 1
31 51 9
59 28 3
138 17 2
52 5 1
61 103 7
44 66 7
34 111 8
80 18 2
7 5 7
46 17 4
78 124 6
2 65 8
86 14 9
29 22 6
2 54 4
147 9 2
0 10 1
87 84 1
131 4 2
113 136 3
66 51 5
81 84 6
44 109 5
31 149 1
106 138 4
15 58 7
43 125 7
89 77 7
11 2 4
17 91 6
73 109 5
116 77 5
34 123 6
141 33 9
21 11 6
87 23 9
27 145 9
124 116 4
148 69 5
30 134 4
141 128 5
81 17 4
140 26 9
70 95 7
41 144 9
3 10 5
113 141 2
107 19 8
113 57 5
25 129 9
57 122 8
136 30 5
102 115 9
73 133 2
72 61 3
131 64 9
36 116 1
128 45 9
7 61 8
147 34 4
124 82 5
63 72 4
23 64 2
91 78 1
144 12 3
123 7 2
135 123 1
81 120 4
130 15 7
74 73 3
36 47 6
45 126 8
145 18 7
116 28 2
45 73 7
136 48 1
125 66 7
85 129 2
58 112 3
47 37 9
28 37 9
137 87 5
60 31 7
111 118 7
58 71 7
142 73 4
29 100 4
78 140 8
10 136 8
56 92 5
7 90 8
90 16 1
147 133 2
105 26 3
147 36 7
38 16 4
86 59 6
126 84 3
91 27 4
139 129 6
7 100 3
91 98 7
81 149 9
133 10 4
8 31 1
23 140 8
122 127 6
85 90 1
81 113 5
84 43 1
118 3 8
142 7 5
119 52 7
118 2 6
133 91 4
48 83 9
20 25 2
16 42 4
35 13 6
82 52 8
135 40 9
36 40 6
122 72 9
23 148 2
50 62 5
39 115 4
139 5 6
124 43 4
37 14 9
109 105 1
80 17 3
48 147 5
13 84 6
84 79 1
92 12 9
32 146 7
133 117 2
32 128 5
121 46 1
48 2 2
26 146 1
140 35 7
47 77 4
136 39 6
123 87 7
101 83 3
25 36 6
9 92 8
107 91 6
36 75 3
64 130 8
55 114 7
66 102 2
51 140 4
82 96 5
135 130 8
118 104 5
122 66 6
35 50 9
8 24 2
15 135 7
135 98 9
4 122 1
34 15 3
41 51 9
111 62 4
71 98 7
59 84 5
90 107 5
79 45 2
57 47 9
90 68 9
120 140 6
7 64 9
69 85 6
48 58 3
73 95 5
83 116 6
94 105 1
122 82 3
137 118 3
146 29 7
134 126 1
80 9 5
131 94 1
71 16 3
93 36 3
133 95 6
136 84 7
128 131 6
14 111 7
106 109 7
38 109 1
1 39 9
17 69 1
68 3 7
33 30 2
148 42 4
55 109 1
2 132 5
21 90 3
118 77 9
108 81 2
31 107 4
53 138 6
88 85 5
5 106 2
38 97 8
27 107 1
7 31 6
87 81 2
116 51 8
42 32 1
134 142 1
34 25 2
31 119 7
67 86 3
88 77 3
87 82 4
118 93 1
131 10 2
68 52 6
101 132 5
68 128 4
86 87 4
106 38 5
115 94 8
122 9 5
68 64 9
101 104 5
136 137 2
51 58 1
45 4 8
43 22 4
3 93 4
67 116 9
30 95 2
94 133 8
14 118 1
51 130 4
125 98 5
95 94 9
147 16 1
10 40 2
127 109 8
112 139 5
16 69 6
3 33 1
77 91 2
38 107 1
76 66 5
15 27 8
122 97 1
100 110 4
66 30 5
129 59 5
31 100 4
48 28 6
28 36 3
67 54 7
51 24 5
103 111 4
109 8 1
126 46 1
113 88 3
116 59 5
126 103 5
60 142 2
113 128 4
77 144 1
113 114 2
22 130 2
110 73 6
135 53 9
44 89 2
33 117 5
123 131 3
71 104 4
65 101 8
43 38 5
0 23 4
82 15 1
91 18 9
115 113 4
134 103 2
26 142 4
2 109 3
91 88 8
54 42 2
96 8 5
81 7 1
92 144 9
59 125 9
121 129 6
131 24 7
87 14 8
86 41 9
45 103 8
78 65 6
32 92 6
47 30 9
138 71 2
72 68 5
40 111 8
105 41 3
67 59 5
14 75 4
66 138 8
72 66 3
138 18 7
33 139 2
13 101 8
73 145 8
89 131 1
117 66 1
5 143 6
125 5 4
61 49 8
130 115 5
148 30 2
52 3 8
106 3 4
46 107 5
42 140 3
102 27 2
116 41 4
99 69 8
136 56 8
103 145 2
75 88 2
73 149 9
127 23 7
1 78 3
48 108 5
80 98 7
82 83 6
107 105 2
83 126 9
96 56 5
48 71 3
114 58 2
96 149 9
4 135 1
27 3 7
74 23 2
24 108 4
120 6 4
9 45 3
97 51 3
81 24 8
32 71 6
31 106 2
137 108 4
53 147 8
53 96 7
55 148 5
96 137 4
58 126 2
73 117 7
109 6 3
114 81 1
37 112 5
123 26 2
60 55 5
24 40 3
88 84 5
127 67 8
70 35 5
93 50 4
62 17 5
78 51 8
58 133 7
69 77 2
87 67 5
57 3 2
125 15 5
25 117 3
110 23 2
136 116 2
12 23 8
39 107 7
149 126 6
8 122 9
8 85 9
0 121 1
99 121 1
131 59 8
22 123 8
80 23 8
33 134 5
23 91 2
13 49 6
94 149 3
2 61 1
1 144 9
31 13 4
17 120 7
94 132 5
141 69 6
86 42 2
136 34 9
112 25 6
114 110 3
57 20 5
39 80 4
119 41 5
124 84 6
49 102 9
114 79 4
128 20 8
101 84 4
57 48 4
10 34 4
119 44 9
14 51 7
64 76 7
99 127 9
65 15 3
118 96 9
26 76 3
74 100 7
71 95 3
59 44 9
4 143 6
14 36 7
62 45 8
93 120 8
134 127 2
13 7 6
87 25 7
141 136 5
20 92 3
111 121 9
145 117 1
128 82 5
25 98 3
126 51 2
141 135 5
2 134 6
120 52 4
17 59 3
9 37 3
41 11 9
70 90 9
92 46 5
116 58 4
10 30 8
106 68 2
116 72 5
13 105 8
124 92 9
59 40 2
141 27 6
21 56 3
57 5 1
22 65 8
109 138 3
9 1 9
86 7 6
117 35 3
134 75 8
81 97 3
81 118 1
45 75 6
44 149 3
4 72 3
139 44 7
30 81 5
36 129 7
78 118 3
149 98 2
2 137 4
19 47 4
0 22 6
42 69 6
51 37 3
56 145 8
39 111 1
85 43 1
108 72 1
75 78 8
87 94 7
66 73 1
52 1 8
145 119 6
43 71 8
17 2 9
17 143 2
48 55 9
148 9 6
106 104 9
50 140 5
73 84 6
70 65 6
131 53 7
36 109 3
71 121 7
27 69 6
24 9 5
0 147 7
141 9 3
87 18 4
51 94 5
79 131 3
64 132 3
140 0 2
135 81 1
28 95 4
1 122 9
21 116 2
96 33 8
48 85 3
62 112 5
10 6 9
92 141 5
29 8 7
76 11 3
132 75 1
64 135 6
45 23 9
13 108 9
123 78 9
76 134 6
93 132 8
67 93 6
121 61 6
122 107 7
138 104 4
84 70 2
40 99 4
116 97 1
89 61 3
37 85 4
136 0 7
125 60 5
90 20 9
37 15 7
27 75 9
5 56 3
46 75 9
61 43 8
87 54 5
126 137 9
121 44 1
118 86 2
51 47 4
2 49 7
65 48 7
38 132 2
65 108 1
96 57 4
82 86 8
74 58 7
21 82 8
23 108 4
99 90 6
64 22 5
43 140 7
50 112 8
114 91 5
76 117 6
72 134 7
58 123 3
26 73 4
92 127 3
119 30 3
27 26 6
136 95 3
89 70 5
16 141 5
133 4 1
35 36 5
81 94 8
25 107 2
58 121 6
28 91 7
77 128 8
30 12 2
49 0 6
132 92 1
5 2 4
70 94 9
133 97 6
127 143 9
1 118 7
71 3 5
92 137 9
2 67 9
115 146 2
111 108 6
149 134 6
94 63 8
57 18 4
11 47 2
26 60 7
16 15 3
81 121 9
30 132 6
149 2 8
36 6 1
39 149 6
90 0 5
1 93 4
120 121 5
144 36 5
136 92 2
8 129 9
58 78 1
51 48 3
70 64 1
82 98 5
126 64 4
65 66 5
25 21 6
91 143 1
62 146 6
15 41 1
117 129 6
127 137 9
99 25 8
35 69 6
67 43 5
137 123 5
129 124 4
46 1 5
18 6 9
132 98 2
12 37 4
93 115 2
140 136 3
16 56 4
83 1 1
83 133 3
40 45 5
43 14 8
75 70 2
83 52 5
26 127 1
92 60 1
61 81 9
125 26 1
12 13 6
145 92 6
94 120 3
91 69 8
9 97 5
128 25 2
92 143 5
123 130 3
129 47 1
135 124 1
132 21 9
125 63 4
15 78 7
19 124 6
25 5 6
106 27 1
15 126 4
91 149 2
120 92 9
115 30 9
1 47 8
134 15 8
8 6 9
147 118 5
124 77 3
139 12 4
11 129 7
84 137 3
24 42 1
86 36 9
88 115 8
132 80 6
31 95 1
121 126 4
57 98 6
32 60 6
17 136 3
94 98 8
3 43 8
120 26 8
82 99 8
148 92 6
23 83 3
46 93 8
72 47 6
77 130 1
37 114 1
33 126 9
48 131 3
117 108 1
22 5 1
91 70 5
38 39 2
87 143 9
44 73 8
0 52 9
147 68 7
20 74 4
133 33 3
132 65 9
80 111 2
73 23 6
120 130 7
2 120 9
10 7 4
25 84 2
104 62 9
116 43 5
33 55 6
46 98 5
103 86 6
122 93 2
100 57 2
148 134 5
28 32 1
133 116 4
17 122 7
66 15 8
46 116 8
109 117 1
32 107 3
13 117 6
49 46 8
75 79 7
132 127 8
65 131 4
141 64 1
119 79 6
61 42 5
106 4 1
42 25 1
115 83 7
66 41 4
62 61 1
66 86 8
134 84 6
95 45 6
126 146 9
42 132 7
7 98 4
26 15 6
62 3 9
136 63 5
6 117 9
72 70 1
147 46 3
111 90 4
56 111 4
31 71 8
63 67 9
103 35 6
67 109 1
92 82 8
58 49 3
34 27 2
101 91 3
107 84 8
93 25 6
118 85 2
74 53 3
24 15 3
122 34 6
47 9 9
52 58 6
25 73 5
121 93 6
13 57 2
63 30 5
22 66 6
32 62 1
145 128 6
19 126 4
67 137 4
74 102 4
34 30 2
33 36 6
64 94 6
141 83 5
55 54 2
26 124 3
119 32 7
17 64 1
0 47 4
48 142 2
126 123 7
70 59 6
144 79 3
27 137 8
53 42 9
54 63 1
112 143 2
74 25 3
90 92 5
138 25 2
34 112 9
120 132 4
48 118 8
8 61 7
118 145 6
87 34 8
38 104 1
3 4 8
49 42 2
98 126 7
23 20 4
34 101 8
30 130 3
124 139 7
9 85 2
63 98 6
49 106 1
94 59 7
112 114 2
140 130 9
26 78 5
42 107 3
36 125 2
81 70 3
24 119 1
7 11 7
25 23 5
85 22 5
141 81 5
27 12 3
5 77 8
4 103 3
113 33 3
138 89 9
136 77 5
1 68 9
146 3 6
10 86 9
141 143 7
99 91 7
82 50 6
50 26 6
65 107 8
120 37 1
105 82 5
122 14 5
29 145 8
19 111 8
71 54 4
118 109 6
80 10 2
123 4 7
139 115 9
106 142 8
92 91 2
91 67 7
50 66 2
41 83 7
141 102 5
72 107 1
99 118 3
53 14 6
15 100 3
32 5 1
54 48 7
87 53 5
62 108 7
16 134 5
57 17 7
132 62 1
136 33 2
119 108 7
75 125 2
26 49 5
12 87 7
35 111 8
47 143 4
55 32 3
138 69 6
11 145 9
93 97 4
130 138 1
102 78 6
121 127 1
6 17 5
145 50 9
86 48 4
37 43 5
139 11 8
127 24 2
16 75 7
90 87 8
98 53 6
59 60 6
99 148 7
62 119 2
113 140 4
117 105 1
115 63 4
131 58 6
52 40 8
114 124 7
134 77 9
94 11 3
132 145 8
48 53 9
91 86 4
10 129 2
71 39 6
148 35 4
102 59 1
48 120 6
48 138 8
5 1 5
22 77 9
24 39 7
65 148 1
120 129 2
112 146 9
63 31 4
107 1 7
39 77 7
145 147 6
77 94 5
60 28 8
117 14 4
60 149 1
0 124 3
16 142 1
19 12 2
78 105 9
18 101 5
140 27 3
93 69 4
79 52 6
11 121 5
142 64 3
76 34 7
66 119 7
77 37 1
15 113 5
89 25 7
145 66 1
120 7 5
118 27 8
5 17 2
13 20 8
65 80 2
32 144 6
120 75 6
68 145 4
73 13 1
69 135 9
76 10 4
116 93 9
22 36 6
80 25 2
38 68 3
6 31 6
122 81 9
116 7 6
146 10 9
116 126 9
16 48 8
95 101 3
64 71 8
28 108 6
141 40 8
110 111 5
124 69 5
8 95 6
97 0 8
21 144 1
41 6 5
27 8 7
15 8 1
114 83 5
92 54 8
140 89 5
27 84 1
64 80 3
109 10 5
57 32 2
72 28 9
70 83 1
48 18 7
6 16 4
23 47 4
114 130 9
128 118 3
37 32 6
11 104 7
96 97 6
7 85 3
114 20 7
18 140 5
147 129 8
104 33 1
50 69 8
104 13 5
106 29 2
5 142 6
128 21 2
38 142 4
146 40 7
129 21 7
58 111 6
42 133 8
102 137 3
53 133 4
111 93 2
48 112 1
124 62 7
27 132 3
21 26 5
83 86 1
25 101 6
59 110 2
144 31 4
78 69 2
118 43 7
8 52 8
113 67 9
143 26 2
63 47 4
141 97 6
127 46 9
118 142 7
11 70 1
18 68 5
119 106 1
28 35 9
116 135 4
64 51 4
60 17 2
85 131 1
139 55 9
87 28 7
87 24 6
137 12 4
17 106 6
140 84 4
93 114 2
130 6 7
91 74 9
134 55 1
77 1 2
35 147 1
100 11 1
61 130 8
39 88 4
71 1 7
85 110 9
11 85 5
83 128 7
59 80 2
101 29 9
86 9 9
6 95 3
125 67 1
81 101 2
2 51 8
135 115 4
112 85 5
138 5 9
115 80 1
102 44 2
94 29 9
131 124 9
97 19 6
21 20 1
127 146 5
36 127 4
49 115 1
26 129 1
96 106 6
106 86 2
147 39 5
19 125 1
138 103 3
147 131 7
89 14 5
62 47 4
46 134 2
64 60 4
106 77 4
42 20 6
79 148 4
19 60 8
18 95 8
139 97 5
112 96 6
139 123 4
7 44 5
140 128 8
42 40 8
31 74 1
144 70 2
53 108 3
137 76 5
28 110 9
144 104 2
122 118 2
93 130 4
83 71 5
47 82 1
127 139 5
55 122 1
74 67 4
126 21 4
23 54 6
129 46 2
82 19 8
95 122 5
143 10 3
114 35 6
93 100 9
94 43 3
26 45 8
15 92 2
66 90 4
109 113 5
24 66 5
54 45 8
33 13 8
133 84 1
128 111 2
12 3 9
138 85 8
133 119 6
71 101 6
147 47 3
61 100 1
113 147 9
70 125 6
78 71 8
7 138 6
124 97 1
73 124 8
95 35 4
72 95 3
123 121 5
64 63 5
99 89 1
12 45 3
44 81 8
42 43 8
106 141 8
133 102 4
89 35 5
140 98 3
39 94 3
76 123 6
137 146 8
118 76 3
94 140 2
134 140 7
6 4 5
91 134 9
7 21 8
82 66 6
56 22 5
25 62 9
21 2 3
19 23 6
11 59 9
32 20 3
14 44 2
13 136 7
119 51 7
11 112 6
24 13 1
96 43 2
105 131 6
132 53 4
34 141 5
81 10 6
97 147 1
114 145 1
32 3 7
139 30 3
148 59 6
24 75 8
22 134 4
7 32 7
103 30 9
48 114 4
67 118 8
0 40 9
42 104 8
29 110 1
147 91 5
96 39 4
99 106 4
111 109 1
30 50 2
139 90 7
40 50 6
48 121 4
129 101 3
24 59 1
112 109 3
40 13 8
75 107 5
91 108 2
69 47 7
90 41 5
74 88 2
11 87 8
67 56 2
82 111 3
47 120 6
53 26 3
1 103 2
59 51 4
147 15 2
59 145 2
11 127 8
20 41 8
66 95 7
130 18 1
99 103 2
117 68 6
124 85 8
57 105 2
90 131 8
30 111 7
146 121 4
79 122 2
130 103 3
42 94 9
101 122 9
79 121 4
135 30 4
49 149 8
124 15 3
34 58 5
137 117 8
103 148 4
28 127 4
0 131 3
20 124 7
77 64 8
106 144 3
149 125 3
136 93 6
80 85 7
29 20 1
123 15 4
18 12 3
117 64 3
77 27 6
69 131 2
26 52 1
131 99 6
47 128 9
46 90 6
136 91 6
37 6 9
52 86 6
61 31 6
135 110 6
124 127 3
44 23 2
77 138 3
11 68 3
22 81 3
96 21 1
66 136 2
141 23 3
98 65 9
123 6 8
61 142 6
48 90 6
106 115 3
70 148 2
139 32 8
57 149 7
77 58 2
101 127 8
23 3 9
146 1 6
86 141 2
18 85 1
111 101 2
72 59 7
32 110 6
87 48 9
138 19 5
88 2 1
95 131 6
127 97 1
95 23 2
62 69 7
141 142 6
12 26 3
120 127 2
139 56 6
115 57 7
113 110 1
10 106 9
54 124 5
123 3 6
105 1 3
112 147 4
134 87 7
42 2 9
30 96 6
9 21 6
147 20 3
61 33 9
123 46 2
20 6 3
14 94 8
80 90 5
11 141 8
7 40 5
15 53 5
114 49 7
4 89 6
101 118 5
139 89 5
53 106 5
0 120 8
118 102 6
54 128 4
62 9 6
94 138 8
120 146 4
63 138 9
35 105 8
37 35 6
51 115 9
40 103 6
77 4 9
4 44 7
52 92 1
97 76 8
24 56 5
14 63 9
1 108 5
106 58 7
148 66 4
85 108 1
44 9 9
131 146 1
98 30 7
4 138 6
34 49 9
55 34 2
91 8 4
138 67 4
21 77 7
4 32 2
127 110 5
141 58 7
91 53 8
48 4 7
42 101 2
147 14 7
146 88 1
63 112 6
39 146 4
61 48 9
102 7 1
46 4 7
11 33 6
6 61 7
54 51 7
79 100 5
111 38 9
125 103 6
90 148 7
38 134 9
135 138 4
57 135 8
140 62 6
105 97 4
50 8 8
39 66 2
119 137 3
139 83 6
105 24 2
5 123 6
145 48 9
116 119 6
54 16 2
19 31 2
74 98 9
11 90 3
48 93 6
23 101 2
67 90 6
55 13 4
83 51 3
41 130 8
118 132 7
96 24 4
100 125 1
100 14 4
47 116 5
4 30 6
14 45 7
95 69 9
91 30 2
30 44 5
44 26 3
143 116 1
39 141 8
126 50 4
76 90 7
56 75 2
43 41 1
105 118 8
95 92 9
123 36 9
79 8 5
22 99 5
140 69 8
71 105 8
15 119 8
66 120 2
126 8 7
69 118 6
85 97 4
123 120 8
124 70 9
118 6 1
28 75 2
20 15 2
35 21 3
30 127 1
74 1 3
47 29 9
134 13 4
35 62 7
122 136 9
76 54 1
78 64 2
1 149 1
88 138 8
37 137 2
98 13 7
121 13 1
73 92 2
62 96 4
35 65 3
18 23 1
147 59 8
30 70 5
114 45 3
121 98 1
94 35 5
42 134 5
132 46 6
31 122 9
93 135 9
23 4 1
142 139 4
26 61 4
34 4 8
50 15 9
31 82 7
91 104 6
98 51 2
4 83 6
10 124 9
89 83 5
69 14 9
106 30 9
104 15 1
79 2 9
74 99 4
106 12 2
84 114 3
139 93 6
18 137 6
78 100 2
53 121 5
26 5 1
42 137 9
107 126 1
113 46 4
60 33 5
87 9 3
27 5 7
147 6 2
28 6 9
100 102 6
33 109 7
108 27 2
29 10 1
52 15 3
2 148 9
90 126 4
105 103 6
98 2 5
68 34 9
108 88 6
148 140 3
136 6 8
65 88 5
143 108 5
70 146 6
55 105 1
94 101 1
24 7 9
117 82 7
145 4 3
75 147 5
119 70 9
0 14 7
22 94 1
141 2 7
7 12 5
104 39 7
148 97 7
51 142 3
61 99 9
5 74 3
43 129 2
67 145 1
112 129 2
65 90 9
110 108 9
107 74 9
107 149 1
141 131 5
25 29 5
124 98 1
31 126 7
12 50 1
98 79 3
136 104 1
145 58 6
31 12 9
69 149 1
108 122 5
74 49 3
98 108 2
102 14 6
110 141 4
62 0 3
144 147 2
33 10 5
15 88 5
125 42 4
81 83 5
91 58 5
76 58 7
48 84 6
136 59 9
70 96 6
123 65 8
84 91 1
110 10 6
100 88 6
1 142 1
105 46 4
63 77 1
77 80 7
32 130 4
49 62 9
52 10 5
21 65 8
47 95 1
72 56 1
118 125 8
113 130 5
21 23 8
15 48 2
108 26 8
139 135 9
16 87 1
18 106 8
60 75 9
21 104 3
29 42 5
61 69 1
14 68 5
69 97 6
26 122 2
99 59 9
73 115 3
118 141 8
128 80 5
4 65 9
58 0 1
94 36 4
103 83 4
19 49 1
148 71 6
102 46 7
14 25 5
48 40 2
37 22 6
65 91 3
46 140 4
121 147 4
79 125 7
1 75 2
139 126 5
124 44 3
55 78 7
134 65 9
68 108 4
58 125 3
122 106 5
73 120 7
99 37 8
125 44 6
99 42 5
141 105 7
38 60 7
116 23 2
124 107 5
42 65 6
102 103 4
35 134 1
115 131 1
89 116 1
34 66 3
81 89 8
145 121 9
23 36 9
101 117 1
41 126 8
106 8 8
136 41 2
120 149 3
19 63 3
56 130 2
60 27 3
3 44 5
120 100 3
13 10 5
67 58 4
53 89 1
61 111 1
53 93 2
28 31 2
122 117 5
99 47 8
37 82 7
18 55 6
30 124 1
31 43 1
95 14 6
34 6 2
96 65 2
72 20 6
77 40 8
123 67 6
140 83 8
35 100 6
63 38 4
119 42 5
6 70 7
125 20 9
108 140 7
4 90 1
1 53 9
20 87 6
37 107 1
84 85 1
16 18 3
50 135 3
40 98 9
31 147 1
115 31 9
126 115 7
122 20 3
75 146 8
144 101 9
46 149 2
133 35 2
50 4 3
96 88 8
